CODIGO,DESC_CODIGO,CLASIFICADOR_CODIGO
312131,Elaboración de bebidas alcohólicas a base de uva ,Clase
312132,Elaboración de pulque ,Clase
312139,Elaboración de sidra y otras bebidas fermentadas ,Clase
31214,"Elaboración de bebidas destiladas, excepto de uva",Subrama
312141,Elaboración de ron y otras bebidas destiladas de caña ,Clase
312142,Elaboración de bebidas destiladas de agave ,Clase
312143,Obtención de alcohol etílico potable ,Clase
312149,Elaboración de otras bebidas destiladas ,Clase
3122,Industria del tabaco,Rama
31221,Beneficio del tabaco ,Subrama
312210,Beneficio del tabaco ,Clase
31222,Elaboración de productos de tabaco ,Subrama
312221,Elaboración de cigarros ,Clase
312222,Elaboración de puros y otros productos de tabaco ,Clase
313,Fabricación de insumos textiles y acabado de textiles,Subsector
3131,"Preparación e hilado de fibras textiles, y fabricación de hilos",Rama
31311,"Preparación e hilado de fibras textiles, y fabricación de hilos",Subrama
313111,Preparación e hilado de fibras duras naturales ,Clase
313112,Preparación e hilado de fibras blandas naturales ,Clase
313113,Fabricación de hilos para coser y bordar ,Clase
3132,Fabricación de telas,Rama
31321,Fabricación de telas anchas de tejido de trama,Subrama
313210,Fabricación de telas anchas de tejido de trama ,Clase
31322,Fabricación de telas angostas de tejido de trama y pasamanería,Subrama
313220,Fabricación de telas angostas de tejido de trama y pasamanería ,Clase
31323,Fabricación de telas no tejidas (comprimidas),Subrama
313230,Fabricación de telas no tejidas (comprimidas) ,Clase
31324,Fabricación de telas de tejido de punto,Subrama
313240,Fabricación de telas de tejido de punto ,Clase
3133,Acabado de productos textiles y fabricación de telas recubiertas,Rama
31331,Acabado de productos textiles,Subrama
313310,Acabado de productos textiles ,Clase
31332,Fabricación de telas recubiertas,Subrama
313320,Fabricación de telas recubiertas ,Clase
314,"Fabricación de productos textiles, excepto prendas de vestir",Subsector
3141,"Confección de alfombras, blancos y similares",Rama
31411,Fabricación de alfombras y tapetes,Subrama
314110,Fabricación de alfombras y tapetes ,Clase
31412,"Confección de cortinas, blancos y similares",Subrama
314120,"Confección de cortinas, blancos y similares ",Clase
3149,"Fabricación de otros productos textiles, excepto prendas de vestir",Rama
31491,Confección de costales y productos de textiles recubiertos y de materiales sucedáneos,Subrama
314911,Confección de costales ,Clase
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos ,Clase
31499,Fabricación de otros productos textiles no clasificados en otra parte,Subrama
314991,"Confección, bordado y deshilado de productos textiles ",Clase
314992,Fabricación de redes y otros productos de cordelería ,Clase
314993,Fabricación de productos textiles reciclados ,Clase
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte ,Clase
315,Fabricación de prendas de vestir,Subsector
3151,Fabricación de prendas de vestir de tejido de punto,Rama
31511,Fabricación de calcetines y medias de tejido de punto,Subrama
315110,Fabricación de calcetines y medias de tejido de punto ,Clase
31519,Fabricación de otras prendas de vestir de tejido de punto,Subrama
315191,Fabricación de ropa interior de tejido de punto ,Clase
315192,Fabricación de ropa exterior de tejido de punto ,Clase
3152,Confección de prendas de vestir,Rama
31521,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos ",Subrama
315210,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos ",Clase
31522,Confección de prendas de vestir de materiales textiles ,Subrama
315221,Confección en serie de ropa interior y de dormir ,Clase
315222,Confección en serie de camisas ,Clase
315223,Confección en serie de uniformes ,Clase
315224,Confección en serie de disfraces y trajes típicos ,Clase
315225,Confección de prendas de vestir sobre medida ,Clase
315229,Confección en serie de otra ropa exterior de materiales textiles ,Clase
3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,Rama
31599,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,Subrama
315991,Confección de sombreros y gorras ,Clase
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte ,Clase
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",Subsector
3161,Curtido y acabado de cuero y piel,Rama
31611,Curtido y acabado de cuero y piel,Subrama
316110,Curtido y acabado de cuero y piel ,Clase
3162,Fabricación de calzado,Rama
31621,Fabricación de calzado,Subrama
316211,Fabricación de calzado con corte de piel y cuero ,Clase
316212,Fabricación de calzado con corte de tela ,Clase
316213,Fabricación de calzado de plástico ,Clase
316214,Fabricación de calzado de hule ,Clase
316219,Fabricación de huaraches y calzado de otro tipo de materiales ,Clase
3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",Rama
31699,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",Subrama
316991,"Fabricación de bolsos de mano, maletas y similares ",Clase
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos ",Clase
321,Industria de la madera,Subsector
3211,Aserrado y conservación de la madera,Rama
32111,Aserrado y conservación de la madera,Subrama
321111,Aserraderos integrados ,Clase
321112,Aserrado de tablas y tablones ,Clase
321113,Tratamiento de la madera y fabricación de postes y durmientes ,Clase
3212,Fabricación de laminados y aglutinados de madera,Rama
32121,Fabricación de laminados y aglutinados de madera,Subrama
321210,Fabricación de laminados y aglutinados de madera ,Clase
3219,Fabricación de otros productos de madera,Rama
32191,Fabricación de productos de madera para la construcción,Subrama
321910,Fabricación de productos de madera para la construcción ,Clase
32192,Fabricación de productos para embalaje y envases de madera,Subrama
321920,Fabricación de productos para embalaje y envases de madera ,Clase
32199,"Fabricación de otros productos de madera y de materiales trenzables, excepto palma",Subrama
321991,"Fabricación de productos de materiales trenzables, excepto palma ",Clase
321992,Fabricación de artículos y utensilios de madera para el hogar ,Clase
321993,Fabricación de productos de madera de uso industrial ,Clase
321999,Fabricación de otros productos de madera ,Clase
322,Industria del papel,Subsector
3221,"Fabricación de pulpa, papel y cartón",Rama
32211,Fabricación de pulpa,Subrama
322110,Fabricación de pulpa ,Clase
32212,Fabricación de papel,Subrama
322121,Fabricación de papel en plantas integradas ,Clase
322122,Fabricación de papel a partir de pulpa ,Clase
32213,Fabricación de cartón,Subrama
322131,Fabricación de cartón en plantas integradas ,Clase
322132,Fabricación de cartón y cartoncillo a partir de pulpa ,Clase
3222,Fabricación de productos de cartón y papel,Rama
32221,Fabricación de envases de cartón,Subrama
322210,Fabricación de envases de cartón ,Clase
32222,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados,Subrama
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados ,Clase
32223,Fabricación de productos de papelería,Subrama
322230,Fabricación de productos de papelería ,Clase
32229,Fabricación de otros productos de cartón y papel,Subrama
322291,Fabricación de pañales desechables y productos sanitarios ,Clase
322299,Fabricación de otros productos de cartón y papel ,Clase
323,Impresión e industrias conexas,Subsector
3231,Impresión e industrias conexas,Rama
32311,Impresión,Subrama
323111,"Impresión de libros, periódicos y revistas ",Clase
323119,Impresión de formas continuas y otros impresos ,Clase
32312,Industrias conexas a la impresión,Subrama
323120,Industrias conexas a la impresión ,Clase
324,Fabricación de productos derivados del petróleo y del carbón,Subsector
3241,Fabricación de productos derivados del petróleo y del carbón,Rama
32411,Refinación de petróleo,Subrama
324110,Refinación de petróleo ,Clase
32412,Fabricación de productos de asfalto,Subrama
324120,Fabricación de productos de asfalto ,Clase
32419,Fabricación de otros productos derivados del petróleo refinado y del carbón mineral,Subrama
324191,Fabricación de aceites y grasas lubricantes ,Clase
324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral ,Clase
325,Industria química,Subsector
3251,Fabricación de productos químicos básicos,Rama
32511,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,Subrama
325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado ,Clase
32512,Fabricación de gases industriales,Subrama
325120,Fabricación de gases industriales ,Clase
32513,Fabricación de pigmentos y colorantes sintéticos,Subrama
325130,Fabricación de pigmentos y colorantes sintéticos ,Clase
32518,Fabricación de otros productos químicos básicos inorgánicos,Subrama
325180,Fabricación de otros productos químicos básicos inorgánicos ,Clase
32519,Fabricación de otros productos químicos básicos orgánicos,Subrama
325190,Fabricación de otros productos químicos básicos orgánicos ,Clase
3252,"Fabricación de resinas y hules sintéticos, y fibras químicas",Rama
32521,Fabricación de resinas y hules sintéticos,Subrama
325211,Fabricación de resinas sintéticas ,Clase
325212,Fabricación de hules sintéticos ,Clase
32522,Fabricación de fibras químicas,Subrama
325220,Fabricación de fibras químicas ,Clase
3253,"Fabricación de fertilizantes, pesticidas y otros agroquímicos",Rama
32531,Fabricación de fertilizantes,Subrama
325310,Fabricación de fertilizantes ,Clase
32532,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes",Subrama
325320,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes ",Clase
3254,Fabricación de productos farmacéuticos,Rama
32541,Fabricación de productos farmacéuticos,Subrama
325411,Fabricación de materias primas para la industria farmacéutica ,Clase
325412,Fabricación de preparaciones farmacéuticas ,Clase
3255,"Fabricación de pinturas, recubrimientos y adhesivos",Rama
32551,Fabricación de pinturas y recubrimientos,Subrama
325510,Fabricación de pinturas y recubrimientos ,Clase
32552,Fabricación de adhesivos,Subrama
325520,Fabricación de adhesivos ,Clase
3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",Rama
32561,"Fabricación de jabones, limpiadores y dentífricos",Subrama
325610,"Fabricación de jabones, limpiadores y dentífricos ",Clase
32562,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",Subrama
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador ",Clase
3259,Fabricación de otros productos químicos,Rama
32591,Fabricación de tintas para impresión,Subrama
325910,Fabricación de tintas para impresión ,Clase
32592,Fabricación de explosivos,Subrama
325920,Fabricación de explosivos ,Clase
32599,Fabricación de otros productos químicos,Subrama
325991,Fabricación de cerillos ,Clase
325992,"Fabricación de películas, placas y papel fotosensible para fotografía ",Clase
325993,Fabricación de resinas de plásticos reciclados ,Clase
325999,Fabricación de otros productos químicos ,Clase
326,Industria del plástico y del hule,Subsector
3261,Fabricación de productos de plástico,Rama
32611,Fabricación de bolsas y películas de plástico flexible,Subrama
326110,Fabricación de bolsas y películas de plástico flexible ,Clase
32612,"Fabricación de tubería y conexiones, y tubos para embalaje",Subrama
326120,"Fabricación de tubería y conexiones, y tubos para embalaje ",Clase
32613,Fabricación de laminados de plástico rígido,Subrama
326130,Fabricación de laminados de plástico rígido ,Clase
32614,Fabricación de espumas y productos de poliestireno,Subrama
326140,Fabricación de espumas y productos de poliestireno ,Clase
32615,Fabricación de espumas y productos de uretano,Subrama
326150,Fabricación de espumas y productos de uretano ,Clase
32616,Fabricación de botellas de plástico,Subrama
326160,Fabricación de botellas de plástico ,Clase
32619,Fabricación de otros productos de plástico,Subrama
326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento ,Clase
326192,Fabricación de autopartes de plástico con y sin reforzamiento ,Clase
326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento ,Clase
326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento ,Clase
326198,Fabricación de otros productos de plástico con reforzamiento ,Clase
326199,Fabricación de otros productos de plástico sin reforzamiento ,Clase
3262,Fabricación de productos de hule,Rama
32621,Fabricación y revitalización de llantas,Subrama
326211,Fabricación de llantas y cámaras ,Clase
326212,Revitalización de llantas ,Clase
32622,Fabricación de bandas y mangueras de hule y de plástico,Subrama
326220,Fabricación de bandas y mangueras de hule y de plástico ,Clase
32629,Fabricación de otros productos de hule,Subrama
326290,Fabricación de otros productos de hule ,Clase
327,Fabricación de productos a base de minerales no metálicos,Subsector
3271,Fabricación de productos a base de arcillas y minerales refractarios,Rama
32711,"Fabricación de artículos de alfarería, porcelana, loza y muebles de baño",Subrama
327111,"Fabricación de artículos de alfarería, porcelana y loza ",Clase
327112,Fabricación de muebles de baño ,Clase
32712,Fabricación de productos a base de arcilla para la construcción,Subrama
327121,Fabricación de ladrillos no refractarios ,Clase
327122,Fabricación de azulejos y losetas no refractarias ,Clase
327123,Fabricación de productos refractarios ,Clase
3272,Fabricación de vidrio y productos de vidrio,Rama
32721,Fabricación de vidrio y productos de vidrio,Subrama
327211,Fabricación de vidrio ,Clase
327212,Fabricación de espejos ,Clase
327213,Fabricación de envases y ampolletas de vidrio ,Clase
327214,Fabricación de fibra de vidrio ,Clase
327215,Fabricación de artículos de vidrio de uso doméstico ,Clase
327216,Fabricación de artículos de vidrio de uso industrial y comercial ,Clase
327219,Fabricación de otros productos de vidrio ,Clase
3273,Fabricación de cemento y productos de concreto,Rama
32731,Fabricación de cemento y productos a base de cemento en plantas integradas,Subrama
327310,Fabricación de cemento y productos a base de cemento en plantas integradas ,Clase
32732,Fabricación de concreto,Subrama
327320,Fabricación de concreto ,Clase
32733,Fabricación de tubos y bloques de cemento y concreto,Subrama
327330,Fabricación de tubos y bloques de cemento y concreto ,Clase
32739,Fabricación de otros productos de cemento y concreto,Subrama
327391,Fabricación de productos preesforzados de concreto ,Clase
327399,Fabricación de otros productos de cemento y concreto ,Clase
3274,"Fabricación de cal, yeso y productos de yeso",Rama
32741,Fabricación de cal,Subrama
327410,Fabricación de cal ,Clase
32742,Fabricación de yeso y productos de yeso,Subrama
327420,Fabricación de yeso y productos de yeso ,Clase
3279,Fabricación de otros productos a base de minerales no metálicos,Rama
32791,Fabricación de productos abrasivos,Subrama
327910,Fabricación de productos abrasivos ,Clase
32799,Fabricación de otros productos a base de minerales no metálicos,Subrama
327991,Fabricación de productos a base de piedras de cantera ,Clase
327999,Fabricación de otros productos a base de minerales no metálicos ,Clase
331,Industrias metálicas básicas,Subsector
3311,Industria básica del hierro y del acero,Rama
33111,Industria básica del hierro y del acero,Subrama
331111,Complejos siderúrgicos ,Clase
331112,Fabricación de desbastes primarios y ferroaleaciones ,Clase
3312,Fabricación de productos de hierro y acero,Rama
33121,Fabricación de tubos y postes de hierro y acero,Subrama
331210,Fabricación de tubos y postes de hierro y acero ,Clase
33122,Fabricación de otros productos de hierro y acero,Subrama
331220,Fabricación de otros productos de hierro y acero ,Clase
3313,Industria básica del aluminio,Rama
33131,Industria básica del aluminio,Subrama
331310,Industria básica del aluminio ,Clase
3314,"Industrias de metales no ferrosos, excepto aluminio",Rama
33141,"Fundición y refinación de cobre, metales preciosos y de otros metales no ferrosos",Subrama
331411,Fundición y refinación de cobre ,Clase
331412,Fundición y refinación de metales preciosos ,Clase
